name|ingredients|url|image|cookTime|recipeYield|datePublished|prepTime|description|difficulty
Moroccan Mint Roasted Vegetables|1 lb / 16 oz / 450 g mix of potatoes, cauliflower, and a few radishes (save the tops) 1 1/2 teaspoons dried mint 1/2 teaspoon red chile pepper flakes 1/2 teaspoon cumin seeds 1/2 teaspoon fine grain sea salt 1 teaspoon ground cumin 1/2 teaspoon cinnamon 1 teaspoon ground ginger 4 tablespoons extra virgin olive oil a squeeze of fresh lemon juice toppings: fresh mint, toasted sesame and/or pumpkin seeds, plain yogurt (seasoned with a bit of salt)|http://www.101cookbooks.com/archives/moroccan-mint-roasted-vegetables-recipe.html|http://www.101cookbooks.com/mt-static/images/food/moroccan_vegetables.jpg|PT15M|Serves 4.|2012-02-22|PT5M|A few snapshots from my week in Marrakesh, Morocco + the recipe for a platter of roasted vegetables spiced with dried mint, cumin, ginger, cinnamon, and a kiss of chile. So good with a dollop of salted yogurt and a sprinkle of toasted sesame seeds.|Easy
A Simple Tomato Soup|4 tablespoons unsalted butter, olive oil, or coconut oil 2 medium yellow onions, thinly sliced 1 teaspoon fine grain sea salt, plus more to taste 3 teaspoons curry powder 1 teaspoon ground coriander 1 teaspoon ground cumin 1/2 teaspoon chile flakes 2 (28-ounce) cans whole tomatoes (pref. fire-roasted) 1 14-ounce can coconut milk to serve: any of the following that sound good to you - cooked brown rice, lemon wedges, toasted almond slices, pan-fried paneer, fresh thyme or oregano, oregano drizzle, a poached egg|http://www.101cookbooks.com/archives/a-simple-tomato-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/brothy_tomato_soup_recipe.jpg|PT25M||2012-03-06|PT5M|A simple tomato soup recipe inspired by a Melissa Clark recipe - pureed, warmly spiced, and perfect topped with everything from toasted almonds and herbs, to coconut cream or a poached egg.|Medium
Broccolini Salad|1 lb / 16 oz / 450 g  baby broccoli / broccolini, trimmed, and each stalk halved if you like 3 bunches scallions, trimmed and thinly sliced 1 small serrano chile pepper, deveined, seeded and minced (opt) 1/2 cup / 120 ml extra virgin olive oil fine grain sea salt 3 big handfuls of big, rustic croutons a squeeze of fresh lemon juice. 1 cup / 4 oz / 115 g sliced almonds, toasted 4 - 6 oz fresh mozzarella cheese, torn into big chunks|http://www.101cookbooks.com/archives/broccolini-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/broccolini_salad_recipe.jpg|PT10M|Serves 4 - 6.|2012-04-05|PT10M|Big bowl of green - broccolini tossed with big croutons, tons of scallion slices, mozzarella, toasted almonds, and a hit of serrano pepper.|Easy
Pumpkin and Rice Soup|2 tablespoons unsalted butter 1 medium onion, chopped 1 large shallot, chopped 1/2 serrano chile, seeds and all, chopped fine grain sea salt 1 1/2 pounds pumpkin/squash flesh, seeded, peeled, and cut into 3/4-inch chunks 1 teaspoon fresh ginger juice, pressed from grated ginger cooked brown rice, warm other toppings: plain yogurt, toasted pepitas, lemon ginger rosemary butter* (and pulp)|http://www.101cookbooks.com/archives/pumpkin-and-rice-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pumpkin_rice_soup.jpg|PT25M|Serves 4-6.|2012-10-27|PT10M|The pumpkin soup I made as soon as I got home from India - with an herby butter drizzle and lemon ginger pulp. And some pictures of a photo session on the street in Jaipur.|Medium
Posole in Broth|1 lb / 2 1/2 cups dried posole / hominy 1 medium white or yellow onion 5 cups great-tasting broth (see head note) 1 serrano chile, seeded and minced 2 cups / 12 ounces cooked mung beans, optional** 1 bunch of scallions, trimmed and shredded To serve: chopped olives, sliced avocado, sprouts or micro greens, toasted sliced almonds, and/or a drizzle of olive or lemon oil.|http://www.101cookbooks.com/archives/posole-in-broth-recipe.html|http://www.101cookbooks.com/mt-static/images/food/posole_in_broth_recipe.jpg|PT70M|Serves 6-8.|2013-01-01|PT10M|Posole for the new year - it has a vegetable broth base, lots of blossoming corn kernels, avocado and mung beans. Topped with chopped olives and toasted almonds it's A+...|Hard
Brazil Nut Butter Cups Recipe|1 1/2 cups Brazil nuts, loosely chopped 1 teaspoon macadamia nut oil (optional) 2/3 cup organic powdered sugar (I use Wholesome Sweeteners brand) ~1/2 teaspoon finely ground sea salt a couple pinches of chile powder (opt) 1 9.7-ounce bar of Scharffen Berger bittersweet chocolate, finely chopped Special equipment: chocolate molds, piping bag.|http://www.101cookbooks.com/archives/001371.html|http://www.101cookbooks.com/mt-static/images/food/brazilnutbuttercups1.jpg|||2006-03-18||A twist on the traditional peanut butter cup. It uses all-natural ingredients and instead of peanut butterthe chocolate shell envelopes Brazil nut butter.|Easy
Baked Egg Recipe|2-3 tablespoons extra virgin olive oil 3 big pinches ground cumin 2 big pinches chili flakes 2 big pinches smoked paprika 2 big pinches fine sea salt 1 cup spring (or regular) onion, chopped 1 clove garlic, chopped 1 cup cherry tomatoes, halved or quartered 2 pieces of pita bread, cut into quarters 6 large organic eggs Garnish: finely chopped tomatoes, chile flakes, cilantro (optional) Special equipment: standard 12 muffin tin|http://www.101cookbooks.com/archives/baked-eggs-recipe.html|http://www.101cookbooks.com/mt-static/images/food/bakedeggrecipe_07.jpg||Makes six egg cups.|2007-05-18||Baked eggs in edible cups with cherry tomatoes, garlic, olive oil and  lots of vibrant spices.|Easy
A Tasty Frittata Recipe|Cilantro Chile Sauce 2 large cloves garlic 1/2 cup extra virgin olive oil 2 tablespoons lemon juice, freshly squeezed 1 small bunch cilantro 1 green (serrano) chile, seeds removed 2 pinches ground cumin  a couple big pinches of salt  Frittata 6 large organic eggs 1 tablespoon olive oil 1 small yellow onion, chopped 3 small potatoes, very very thinly sliced 1/2 cup yellow zucchini or cauliflower,1/2-inch pieces 1/4 cup goat cheese, crumbled 1/4 cup pumpkin seeds, toasted  couple pinches of salt|http://www.101cookbooks.com/archives/a-tasty-frittata-recipe.html|http://www.101cookbooks.com/mt-static/images/food/frittatarecipe_07.jpg||Serves 2 to 4.|2007-12-20||The prettiest, tastiest, frittata recipe. Made with potatoes, onions, and eggs drizzled with a cilantro chile sauce. |Easy
Spiced Candied Walnuts Recipe|Peanut or canola oil for deep-frying (hs note: has anyone seen an organic peanut oil out there?) Finely ground sea salt, preferably gray salt  Freshly ground black pepper  1/2 teaspoon ground cinnamon  1/2 teaspoon cayenne pepper  4 cups walnut halves  1 cup confectioners' sugar, sifted 2 cans (15 1/2 ounces each) chickpeas (garbanzo beans)  3/4 cup buttermilk 3/4 cup olive oil 1 1/2 cups 1Arborio Rice Coating (below) 1/4 cup thinly sliced garlic  15 fresh sage leaves 2 teaspoons thin serrano chili slices (optional)  Finely ground sea salt, preferably gray salt  Zest of 1 lemon, cut into julienne  Freshly ground black pepper 1 cup Arborio rice  3 cups unbleached all-purpose flour  1 cup semolina flour  2 tablespoons finely ground sea salt, preferably gray salt  1 teaspoon freshly ground black pepper |http://www.101cookbooks.com/archives/001033.html|http://www.101cookbooks.com/mt-static/images/food/candiedwalnutrecipe.jpg||Makes 4 cups.Makes about 5 cups.|2005-12-30||This candied walnut recipe was is the perfect solution to a New Years Eve hors d'oeuvres dilemma. Made with walnuts, sea salt, black pepper, cinnamon, cayenne pepper, and powdered sugar.|Easy
Monica Bhide's Chile Pea Puffs|nonstick cooking spray (HS note: or a bit of olive oil) 1 cup cooked green peas, lightly mashed 1/4 cup crumbled paneer 2 small green serrano chiles, minced (remove seeds to reduce heat) 1/4 teaspoon salt to start 1/4 teaspoon red chile powder or red chile flakes (less to reduce heat) 1/2 teaspoon minced garlic 32 wonton wrappers 1 egg white, lightly beaten|http://www.101cookbooks.com/archives/monica-bhides-chile-pea-puffs-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pea_puff_recipe.jpg||Makes 32 puffs.|2009-04-29||Monica Bhide's Chile Pea Puff recipe - crispy-skinned baked snacks stuffed with peas, paneer cheese, chiles, and garlic. From her new cookbook - Modern Spice: Inspired Indian Flavors for the Contemporary Kitchen.|Easy
Golden Potstickers|1/2 cup sunflower oil 8 green onions / scallions, white and green parts, thinly sliced 1 small serrano chiles, thinly sliced, or to taste 1 1/2 tablespoons sugar 1/4 cup / 60 ml soy sauce  1/4 cup / 60 ml water 4 tablespoons sunflower oil, plus more for pan-frying 1/2 cup chopped shallots (4 medium) 1/2 teaspoon fine grain sea salt, or to taste 2 cups / 11 oz / 310 g cooked yellow split peas, ideally at room temperature, then process in a food processor until uniform and fluffy 1 package round potsticker wrappers|http://www.101cookbooks.com/archives/golden-potstickers-recipe.html|http://www.101cookbooks.com/mt-static/images/food/potsticker_recipe.jpg|PT10M|Makes a big platter of dumplings.|2011-10-05|PT60M|Potstickers - For my flight to London,  I made the filling with lots of caramelized shallots &amp; pureed yellow split peas then pan-fried them until the bottoms were crisp and golden. They freeze like beautifully, perfect for quick dumpling-centric meals later on.|Hard
